;;;
;;;
;;;
;;;
;;;
1;2;3;4
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения, чел.
1;Всего (сумма строк 02, 07–16);7;90
2;Технологический –  всего (сумма строк 03–06);;
3;в том числе:       информационно-технологический;;
4;агротехнологический;;
5;индустриально-технологический;;
6;другие технологические;;
7;Физико-математический;;
8;Физико-химический;;
9;Химико-биологический;;
10;Биолого-географический;;
11;Социально-экономический;;
12;Социально-гуманитарный;;
13;Филологический;;
14;Художественно-эстетический;;
15;Оборонно-спортивный;;
16;Другие;7;90
