;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
№ строки;Наименование показателей;Код по ОКИН;Численность обучающихся во всех классах кроме классов для обучаю-щихся с огра-ниченными возможностями здоровья (сумма граф 5–10);В том числе по программам: начального общего образования 1-й класс;В том числе по программам: начального общего образования 2-й класс;В том числе по программам: начального общего образования 3-й класс;В том числе по программам: начального общего образования 4-й класс;В том числе по программам: основного общего образования (5–9 классы);В том числе по программам: среднего общего образования (10–11(12) классы;Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья (сумма граф 12–15);В том числе по адаптированным программам начального общего образования;В том числе по адаптированным программам основного общего образования;В том числе по адаптированным программам среднего общего образования;В том числе по адаптированным программам образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями)
1;Язык обучения: Абазинский;001;;;;;;;;;;;;
2;Аварский;003;;;;;;;;;;;;
3;Адыгейский;006;;;;;;;;;;;;
4;Азербайджанский;007;;;;;;;;;;;;
5;Алтайский;012;;;;;;;;;;;;
6;Армянский;019;;;;;;;;;;;;
7;Балкарский;282;;;;;;;;;;;;
8;Башкирский;026;;;;;;;;;;;;
9;Белорусский;028;;;;;;;;;;;;
10;Бурятский;033;;;;;;;;;;;;
11;Вепсский;039;;;;;;;;;;;;
12;Грузинский;049;;;;;;;;;;;;
13;Даргинский;055;;;;;;;;;;;;
14;Долганский;283;;;;;;;;;;;;
15;Еврейский (идиш);061;;;;;;;;;;;;
16;Ительменский;071;;;;;;;;;;;;
17;Ингушский;066;;;;;;;;;;;;
18;Казахский;076;;;;;;;;;;;;
19;Калмыцкий;078;;;;;;;;;;;;
20;Кабардинский;075;;;;;;;;;;;;
21;Карачаевский;085;;;;;;;;;;;;
22;Карельский;086;;;;;;;;;;;;
23;Кетский;089;;;;;;;;;;;;
24;Коми;096;;;;;;;;;;;;
25;Коми-пермяцкий;097;;;;;;;;;;;;
26;Корейский;098;;;;;;;;;;;;
27;Корякский;099;;;;;;;;;;;;
28;Крымско-татарский;102;;;;;;;;;;;;
29;Кумыкский;105;;;;;;;;;;;;
30;Лакский;112;;;;;;;;;;;;
31;Лезгинский;114;;;;;;;;;;;;
32;Латышский;113;;;;;;;;;;;;
33;Литовский;116;;;;;;;;;;;;
34;Марийский горный;121;;;;;;;;;;;;
35;Марийский луговой;321;;;;;;;;;;;;
36;Мордовский мокша;126;;;;;;;;;;;;
37;Мордовский эрзя;326;;;;;;;;;;;;
38;Манси;899;;;;;;;;;;;;
39;Нанайский;132;;;;;;;;;;;;
40;Ненецкий;136;;;;;;;;;;;;
41;Ногайский;138;;;;;;;;;;;;
42;Немецкий;135;;;;;;;;;;;;
43;Новогреческий;898;;;;;;;;;;;;
44;Нивхский (на двух диалектах);137;;;;;;;;;;;;
45;Осетинский;146;;;;;;;;;;;;
46;Польский;150;324;;;;;79;245;;;;;
47;Русский;155;82235;50;105;246;1453;23801;58795;420;6;82;200;132
48;Рутульский;157;15;;;;;2;13;;;;;
49;Саамский;164;;;;;;;;;;;;
50;Селькупский;168;;;;;;;;;;;;
51;Табасаранский;174;;;;;;;;;;;;
52;Татарский;181;;;;;;;;;;;;
53;Татский;185;;;;;;;;;;;;
54;Тофаларский;192;;;;;;;;;;;;
55;Тувинский;196;;;;;;;;;;;;
56;Турецкий;197;;;;;;;;;;;;
57;Туркменский;199;;;;;;;;;;;;
58;Удмуртский;202;;;;;;;;;;;;
59;Украинский;206;;;;;;;;;;;;
60;Хакасский;217;;;;;;;;;;;;
61;Хантыйский (на трех диалектах);219;;;;;;;;;;;;
62;Финский;211;;;;;;;;;;;;
63;Чеченский;238;;;;;;;;;;;;
64;Черкесский;897;;;;;;;;;;;;
65;Чувашский;243;;;;;;;;;;;;
66;Чукотский;244;;;;;;;;;;;;
67;Эвенский;262;;;;;;;;;;;;
68;Эскимосский;265;;;;;;;;;;;;
69;Эвенкийский;261;;;;;;;;;;;;
70;Эстонский;267;;;;;;;;;;;;
71;Юкагирский;271;;;;;;;;;;;;
72;Якутский;275;100;;;;;15;85;;;;;
73;Агульский;005;;;;;;;;;;;;
74;Греческий;048;;;;;;;;;;;;
75;Китайский;092;;;;;;;;;;;;
76;Негидальский;134;;;;;;;;;;;;
77;Удэгейский;203;;;;;;;;;;;;
78;Ульчский;207;;;;;;;;;;;;
79;Цахурский;227;;;;;;;;;;;;
80;Шорский;253;;;;;;;;;;;;
81;Энецкий;263;;;;;;;;;;;;
82;Орокский (Уйльта);144;;;;;;;;;;;;
83;Телеутский;186;;;;;;;;;;;;
84;Сойотский;;;;;;;;;;;;;
85;Родной (нерусский) язык, изучаемый как самостоятельный предмет: Абазинский;001;1;;;;;1;;;;;;
86;Аварский;003;;;;;;;;;;;;
87;Адыгейский;006;6;;;;;6;;;;;;
88;Азербайджанский;007;;;;;;;;;;;;
89;Алтайский;012;;;;;;;;;;;;
90;Армянский;019;;;;;;;;;;;;
91;Балкарский;282;84;;;;;17;67;;;;;
92;Башкирский;026;859;;;;;18;841;;;;;
93;Белорусский;028;;;;;;;;;;;;
94;Бурятский;033;2;;;;;2;;;;;;
95;Вепсский;039;;;;;;;;;;;;
96;Грузинский;049;;;;;;;;;;;;
97;Даргинский;055;;;;;;;;;;;;
98;Долганский;283;;;;;;;;;;;;
99;Еврейский (идиш);061;;;;;;;;;;;;
100;Ительменский;071;;;;;;;;;;;;
101;Ингушский;066;;;;;;;;;;;;
102;Казахский;076;;;;;;;;;;;;
103;Калмыцкий;078;;;;;;;;;;;;
