;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47
№ строки;Наименование показателей;Всего (сумма граф 4–47);Программы начального общего образования с нормативным сроком освоения 4 года 1-й класс;Программы начального общего образования с нормативным сроком освоения 4 года 2-й класс;Программы начального общего образования с нормативным сроком освоения 4 года 3-й класс;Программы начального общего образования с нормативным сроком освоения 4 года 4-й класс;Программы начального общего образования с нормативным сроком освоения 5–6 лет 1-й класс;Программы начального общего образования с нормативным сроком освоения 5–6 лет 1-й класс первого года обучения;Программы начального общего образования с нормативным сроком освоения 5–6 лет 1-й класс второго года обучения;Программы начального общего образования с нормативным сроком освоения 5–6 лет 2-й класс;Программы начального общего образования с нормативным сроком освоения 5–6 лет 2-й класс первого года обучения;Программы начального общего образования с нормативным сроком освоения 5–6 лет 2-й класс второго года обучения;Программы начального общего образования с нормативным сроком освоения 5–6 лет 3-й класс;Программы начального общего образования с нормативным сроком освоения 5–6 лет 3-й класс первого года обучения;Программы начального общего образования с нормативным сроком освоения 5–6 лет 3-й класс второго года обучения;Программы начального общего образования с нормативным сроком освоения 5–6 лет 4-й класс;Программы начального общего образования с нормативным сроком освоения 5–6 лет 4-й класс первого года обучения;Программы начального общего образования с нормативным сроком освоения 5–6 лет 4-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 5 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 2 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 2 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс второго года обучения
1;Всего обучающихся, окончивших классы (сумма строк 02, 06);6387;230;258;261;336;59;319;363;439;7;24;422;18;33;448;33;64;487;544;615;361;677;59;;1;55;;;64;;;25;24;25;47;38;32;6;13;;;;;;
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05);6381;230;258;261;336;57;318;363;439;7;24;422;18;33;448;33;62;487;544;615;361;677;58;;1;55;;;64;;;25;24;25;47;38;32;6;13;;;;;;
3;в том числе обучались:       очно;6346;230;257;260;336;53;316;356;436;7;24;420;18;33;444;33;61;485;540;614;361;675;57;;1;55;;;64;;;25;24;25;47;38;32;6;13;;;;;;
4;очно-заочно;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;заочно;35;;1;1;;4;2;7;3;;;2;;;4;;1;2;4;1;;2;1;;;;;;;;;;;;;;;;;;;;;;
6;Численность экстернов, окончивших данный класс;6;;;;;2;1;;;;;;;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
7;из них (из стр.06)  обучались:       в форме семейного образования;6;;;;;2;1;;;;;;;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
8;в форме самообразования;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
