;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);15;5;5.1
2;в том числе:       руководящие работники – всего;;;
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);13;5;3.7
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);9;5;4.4
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;;;
6;русского языка и литературы;1;1;1
7;языка народов России и литературы;3;2;1
8;истории, экономики, права, обществознания;1;;
9;информатики;;;
10;физики;;;
11;математики;3;1;1.7
12;химии;;;
13;географии;;;
14;биологии;;;
15;иностранных языков;;;
16;из них:                      английского языка;;;
17;немецкого языка;;;
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;;;3.5
21;труда (технологии);;;0.3
22;музыки и пения;1;1;0.7
23;изобразительного искусства, черчения;;;
24;основ безопасности и защиты Родины;;;
25;основ духовно-нравственной культуры народов России;;;
26;прочих предметов;;;
27;учителя-логопеды;;;
28;учителя-дефектологи;;;
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;;;
33;педагоги дополнительного образования;2;;0.7
34;педагоги-психологи;;;
35;воспитатели;;;
36;мастера производственного обучения;;;
37;тьюторы;;;
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;;;
39;другие;2;;
40;учебно-вспомогательный персонал;2;;
41;иной персонал;;;
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;;;
46;из них воспитатели;;;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);6;;
53;из них женщин;6;;
54;в том числе:          врачи всех специальностей;2;;
55;медицинские сестры;4;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;1;;
