;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47
№ строки;Наименование показателей;Всего (сумма граф 4–47);Программы начального общего образования с нормативным сроком освоения 4 года 1-й класс;Программы начального общего образования с нормативным сроком освоения 4 года 2-й класс;Программы начального общего образования с нормативным сроком освоения 4 года 3-й класс;Программы начального общего образования с нормативным сроком освоения 4 года 4-й класс;Программы начального общего образования с нормативным сроком освоения 5–6 лет 1-й класс;Программы начального общего образования с нормативным сроком освоения 5–6 лет 1-й класс первого года обучения;Программы начального общего образования с нормативным сроком освоения 5–6 лет 1-й класс второго года обучения;Программы начального общего образования с нормативным сроком освоения 5–6 лет 2-й класс;Программы начального общего образования с нормативным сроком освоения 5–6 лет 2-й класс первого года обучения;Программы начального общего образования с нормативным сроком освоения 5–6 лет 2-й класс второго года обучения;Программы начального общего образования с нормативным сроком освоения 5–6 лет 3-й класс;Программы начального общего образования с нормативным сроком освоения 5–6 лет 3-й класс первого года обучения;Программы начального общего образования с нормативным сроком освоения 5–6 лет 3-й класс второго года обучения;Программы начального общего образования с нормативным сроком освоения 5–6 лет 4-й класс;Программы начального общего образования с нормативным сроком освоения 5–6 лет 4-й класс первого года обучения;Программы начального общего образования с нормативным сроком освоения 5–6 лет 4-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 5 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 2 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 2 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс второго года обучения
1;Всего обучающихся, окончивших классы (сумма строк 02, 06);3697;114;230;192;182;25;152;196;224;38;13;219;18;;214;26;52;264;313;275;304;291;37;8;;54;;;36;;13;29;;;32;54;77;9;5;;;;;;1
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05);3680;114;230;192;182;25;151;193;219;38;13;212;18;;214;26;52;264;313;274;304;291;37;8;;54;;;36;;13;29;;;32;54;77;9;5;;;;;;1
3;в том числе обучались:       очно;3673;114;230;191;182;25;151;193;219;38;13;212;18;;214;26;52;264;313;272;303;291;37;8;;54;;;36;;13;29;;;32;52;76;9;5;;;;;;1
4;очно-заочно;7;;;1;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;2;1;;;;;;;;
5;заочно;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Численность экстернов, окончивших данный класс;17;;;;;;1;3;5;;;7;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
7;из них (из стр.06)  обучались:       в форме семейного образования;17;;;;;;1;3;5;;;7;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
8;в форме самообразования;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
